key,source,translation,notes
,"Hello I am part of a pay-it-forward group, enabling users who are lacking funds to obtain the goods they desire. It doesn't cost any more than 10 DOS Coin to contribute. Can I count on you today to make a contribution to our cause?","Salut, je fais partie d'un groupe d'entraide qui aide ceux sans fonds à obtenir ce qu'ils veulent. Ça ne coûte pas plus de 10 DOS Coin. Je peux compter sur toi aujourd'hui ?",translated_prefix
,the feds are closing in on me so I'm giving away the shit I have before they seize it all. You are promised to get something worth at least 300 DOS Coin if you contribute 50 to my offshore legal fund. Details provided through private message,"Les feds me collent aux basques, je brade tout avant la saisie. Tu es assuré d'avoir au moins 300 DOS Coin de valeur si tu verses 50 à mon fonds juridique offshore.",translated_prefix
,"This chat was out of control yesterday, it seems fine for now. Did the mods finally do something or what?","Ce chat était hors de contrôle hier, ça a l'air mieux. Les modos ont enfin fait un truc ou quoi ?",translated
,[SHIFT] Run,[SHIFT] Courir,translated
,"We can all agree that having people spam dumb shit is pointless for this chat, right? So why are repeated spammers allowed to be here???","On est d'accord que le spam débile sert à rien ici, non ? Alors pourquoi les spammeurs récidivistes sont encore là ???",translated
,Do people actually talk to each other here or is it mostly about buying or selling?,Les gens se parlent vraiment ici ou c'est surtout du buy/sell ?,translated
,"I'm getting personal threats from a user in here. Yeah, I know you can see this. Curious what moderation has to say about this type of behavior.","Je reçois des menaces perso d'un user ici. Ouais, je sais que tu vois ça. Curieux de voir ce que la modo en dit.",translated_prefix
,I've been here the past couple days and haven't seen a single username I recognize. Is that normal? Anonymous thing or constant influx of new people rolling through?,Je suis là depuis quelques jours et je reconnais aucun pseudo. C'est normal ? Anonymat ou flux constant de nouveaux ?,translated_prefix
,Can't figure out how the hell I'm supposed to buy crap here,J'arrive pas à comprendre comment on est censé acheter de la merde ici,translated
,[TAB] Inventory,[TAB] Inventaire,translated
,"If you don't know what's going, how this chat works, are new here and can't shut up, just get the fuck out and go somewhere else. By staying you're negatively affecting it for the rest of us","Si tu piges rien, t'es nouveau et tu fermes pas ta gueule, casse-toi ailleurs. En restant",translated_prefix
,A person with authority in this chatroom needs to contact me immediately. There's a user who needs to be permanently removed for reasons I can't discuss here,Une personne d'autorité ici doit me contacter immédiatement. Y a un user à ban définitivement pour des raisons que j,translated_prefix
,"It wasn't too difficult to find this chat, so I have to wonder if the users here are legit or feds trying to honeypot people into prison.",Pas trop dur de trouver ce chat… je me demande si les users sont legit ou des feds en honeypot.,translated
,File downloaded successfully on your desktop!,Fichier téléchargé avec succès sur votre bureau !,translated
,A bunch of pings tonight have lead to obvious bot accounts. This might end up being my last night in chat if things don't turn around soon...,Plein de pings ce soir mènent à des bots évidents. Peut-être ma dernière nuit ici si ça s'améliore pas…,translated_prefix
,Can we get the people who post random shit out of here??? Like why do they even have the ability to talk if they're just mashing nonsense into their keyboard???,On peut virer ceux qui postent de la merde au pif ??? Pourquoi ils peuvent parler s'ils tapent du nonsense,translated_prefix
,!!!!---!!!! MONEY MAKING OPPORTUNITY !!!!---!!!! A SMALL INVESTMENT OF 500 DOS Coin CAN EARN YOU 200% RETURNS IN ONLY 10 MINUTES!!!! CONTACT FOR ADDITIONAL DETAILS,!!!!---!!!! OPPORTUNITÉ DE FRIC !!!!---!!!! UN PETIT INVESTISSEMENT DE 500 DOS Coin PEUT TE RAPPORTER 200% EN 10 MINUTES!!!! CONTACTE POUR PLUS DE DÉTAILS,translated
,"Requesting participants for our computer based survey system. Simply download our software and run it, then copy and paste the results in our private chat. Free to join, Payment of 50 DOS Coin on completion.","On cherche des participants pour notre enquête ordi. Télécharge le soft, lance-le, colle les résultats en MP. Gratuit, paiement 50 DOS Coin à la fin.",translated_prefix
,Enter the Fetch URL to verify the file...,Entrez l'URL Fetch pour vérifier le fichier…,translated
,$$$ GET YOUR $$$ MONEY UP $$$ 150% CASH BACK ON PURCHASE REAL $$$ MINIMUM 400 DOS COIN $$$,$$$ FAIS GONFLER TON FRIC $$$ 150% CASHBACK SUR ACHAT RÉEL $$$ MINIMUM 400 DOS COIN $$$,translated
,Anyone know of another chat room that's focused on providing services only? I'm sick of the people using this place like it's a casual group chat for friends,Quelqu'un connaît un autre chat axé uniquement services ? Marre des gens qui traitent cet endroit comme un groupe casual,translated_prefix
,!!!! MYSTERY BOX GIVEAWAY ALERT !!!! Tickets to join the giveaway cost only 20 DOS Coin / Ticket. !!!! MYSTERY BOX GIVEAWAY ALERT !!!!,!!!! ALERTE MYSTERY BOX !!!! Les tickets coûtent seulement 20 DOS Coin. !!!! ALERTE MYSTERY BOX !!!!,translated
,Apparently I need to buy a list of websites from this chat to actually get somewhere on the dark net. This is the place to do that right?,Apparemment il faut acheter une liste de sites dans ce chat pour avancer sur le dark net. C'est bien ici pour ça ?,translated
,$$$$ EZ MONEY $$$$ SEND 20 DOS Coin -> WAIT ... -> GET 50 DOS Coin. SIMPLE. GO NOW!,$$$$ FRIC FACILE $$$$ ENVOIE 20 DOS Coin -> ATTENDS ... -> REÇOIS 50 DOS Coin. SIMPLE. GO!,translated
,Please tell me there's a video or something out there explaining how this chatroom functions. I'm worried if I do wrong I'll get permabanned...,Dites-moi qu'il existe une vidéo qui explique comment marche ce chat. J'ai peur de me faire ban à vie si je fais une connerie,translated_prefix
,Enter Desk,S'asseoir au bureau,translated
,"I dropped a magic word in this chat last week and told yall it was important to remember. Todays the day. Message me with that magic word and to receive access to buy into my raffle. There's currently over 100k up for grabs. To make things fair I'll share a hint and part of the word, but you only get one chance to guess. HINT: slang for money MAGIC WORD: C H _ _ _ A R","I dropped a magic word in this chat last week and told yall it was important to remember. Todays the day. Message me with that magic word and to receive access to buy into my raffle. There's currently over 100k up for grabs. To make things fair I'll share a hint and part of the word, but you only get one chance to guess. HINT: slang for money MAGIC WORD: C H _ _ _ A R",needs_review
,Requesting a moderator ban on another user. A dear friend of mine is having his work given away for free after selling it to a certain someone. This is obviously wrong and should not be permitted,Je demande un ban modo. Un pote se fait redistribuer son taf gratuitement après l'avoir vendu à quelqu'un,translated_prefix
,"I joined this chat because a friend told me it was filled with people selling fucked up stuff, but apparently I need DOS Coin to buy anything?","J'ai rejoint ce chat parce qu'un pote m'a dit que ça vendait de la merde chelou, mais il faut des DOS Coin pour acheter quoi que ce soit ?",translated
,Are there any mods in this chat?,Y a des modos dans ce chat ?,translated
,Hey how can I easily figure out if a deal is good or not? Everyone seems to hide their prices behind a ping.,"Hey, comment savoir facilement si une offre est bonne ? Tout le monde cache les prix derrière un ping.",translated
,LOWEST PRICES ON THE MARKET GUARANTEED. FULFILLED THROUGH SYNDICATE CONNECTIONS OTHERS SIMPLY DO NOT HAVE. BEING A LARGE GROUP ALLOWS FOR WIDER MARGINS. MEANING CHEAPER FOR YOU IS OKAY WITH US. BUY TODAY!,LES PRIX LES PLUS BAS DU MARCHÉ GARANTIS. VIA DES CONNEXIONS SYNDICAT QUE LES AUTRES N'ONT PAS. GROS GROUPE = WI,translated_prefix
,Tried to buy a little something but it says no wallet linked. How do I link it?,J'ai voulu acheter un truc mais ça dit aucun wallet lié. Comment on lie ?,translated
,hey im trying to impress this girl in another chat. can somebody here let me borrow 1000 DOS Coin? ill give it back after. she just thinks i have a lot of money cause i told her that. im serious,hey j'essaie d'impressionner une meuf dans un autre chat. quelqu'un peut me prêter 1000 DOS Coin ? je rembourse après. elle croit que je suis riche parce que je lui ai dit. sérieux,translated
,I always respond! I'm always active! ***Certified Dark Net Expert*** I'm your middle man. What you want I get! Quit waiting and contact me!,"Je réponds toujours ! Toujours actif ! ***Expert Dark Net certifié*** Je suis ton middleman. Ce que tu veux, je l'ai ! Arrête d'attendre, contacte-moi !",translated
,Hypothetically would it within reason to have the people selling drugs here deliver them to a prison? If you know or think you know let me know.,"Hypothétiquement, ce serait jouable que les dealers ici livrent en prison ? Si tu sais, dis-moi",translated_prefix
,Invalid Fetch URL - Enter A Valid Fetch URL!,URL Fetch invalide — entrez une URL Fetch valide !,translated
,How long do I have to wait before I can sell something?,Je dois attendre combien de temps avant de pouvoir vendre un truc ?,translated
,"[W,A,S,D] Move","[Z,Q,S,D] Se déplacer",translated
,LAST CHANCE! Roll the dice by entering to win 3000 DOS Coin! Be the 36th participant to win! One entry per user. 50 DOS Coin to enter.,DERNIÈRE CHANCE! Tente de gagner 3000 DOS Coin! Sois le 36e participant! Une inscription / user. 50 DOS Coin pour entrer.,translated
,It's really starting to bother me that all these other comments flood the chat in between the important posts. Like what's the point of even using this chat to find something if you have to sort through a ton of nonsense???,It's really starting to bother me that all these other comments flood the chat in between the important posts. Like what's the point of even using this chat to find something if you have to sort through a ton of nonsense???,needs_review
,I shared the link to this chat with my homie but his connection is getting blocked. Do I need to talk to someone about that or is it just a keep trying until it works type of thing?,J'ai partagé le lien à mon pote mais sa co est bloquée. Je dois parler à quelqu'un ou c'est juste un,translated_prefix
,Enter the Fetch  URL to verify the file...,Entrez l'URL Fetch pour vérifier le fichier…,translated
,Is there a general refund policy or is everyone here running their own business of sorts?,Y a une politique de remboursement générale ou chacun gère sa boutique ?,translated
,I was told this chat clears. What does that mean?,On m'a dit que ce chat « clears ». Ça veut dire quoi ?,translated
,I've collected evidence proving a select group of users are actively funneling traffic from this chat to their own subscription based server. I'm sure this against what the creators wanted. I'll only reveal this information to a trusted source who can prove they have permissions in this chat to punish those related to the matter,I've collected evidence proving a select group of users are actively funneling traffic from this chat to their own subscription based server. I'm sure this against what the creators wanted. I'll only reveal this information to a trusted source who can prove they have permissions in this chat to punish those related to the matter,needs_review
,About at my breaking point with this chat. I need simple instructions on how this works. I'm new. I don't get it. Help me.,About at my breaking point with this chat. I need simple instructions on how this works. I'm new. I don't get it. Help me.,needs_review
,Paid to get the info of a piece of shit who's been consistently fucking with this chatroom. Ready to serve em up to the moderators. My inbox is open.,Paid to get the info of a piece of shit who's been consistently fucking with this chatroom. Ready to serve em up to the moderators. My inbox is open.,needs_review
,"Can anyone here prove that this chat really buys and sells drugs, hitman services, hacker decryption, and all that? I'm not a cop, I'm a skeptic is all.","Can anyone here prove that this chat really buys and sells drugs, hitman services, hacker decryption, and all that? I'm not a cop, I'm a skeptic is all.",needs_review
,Node @@ has both 'headless' and 'fullscreen' flags set. It's not forbidden but make sure it's intentional as the backbuffer will have the desktop's size.,Node @@ has both 'headless' and 'fullscreen' flags set. It's not forbidden but make sure it's intentional as the backbuffer will have the desktop's size.,needs_review
,"GET    REP    QUICK    WITH     REPMAXX.EXE     THIS PROGRAM HOOKS INTO THE BACKEND OF ANY CHAT ROOM AND ALLOWS YOU TO CHANGE THE NUMBERS TO WHATEVER YOU WANT. NEED 100 REP? TYPE IT IN AND CLICK ONE BUTTON AND IT'S DONE. WANT 1000 REP, DO THE SAME AND YOU'RE NOW IN THE GAME. THERE IS NOTHING PREVENTING YOUR BUSINESS FROM SUCCEEDING ONCE REPMAXX.EXE IS INSTALLED     GET    REP    QUICK    WITH     REPMAXX.EXE",BOOSTE TA REP AVEC REPMAXX.EXE — LE PROGRAMME SE BRANCHE AU BACKEND DE N'IMPORTE QUEL CHAT ET CHANGE LES CHIFFRES COMME TU VEUX. BESOIN DE 100 REP? TAPE ET CLIQUE,translated_prefix
,LAST WEEK I GAVE ONE OF YOU 50000 DOS COIN TO SEE WHAT WOULD HAPPEN. WELL TONIGHT IM UPPING THOSE NUMBERS TO 100000 DOS COIN! DETAILS WILL BE SUPPLIED THROUGH PRIVATE MESSAGE. DO NOT DELAY.,LA SEMAINE DERNIÈRE J'AI DONNÉ 50000 DOS COIN À L'UN D'ENTRE VOUS. CE SOIR JE PASSE À 100000 DOS COIN! DÉTAILS EN MP. NE TARDEZ PAS.,translated
,Is there anyone here who can ban a chat member?,Is there anyone here who can ban a chat member?,needs_review
,Secure a DOS Coin loan in seconds. A small fee to confirm the funds can transfer our ONLY requirement.,Obtiens un prêt en DOS Coin en quelques secondes. Un petit frais pour confirmer le transfert est NOTRE SEULE exigence.,translated
,Warning: OpenGL is no longer supported for desktop platforms. Vulkan will be used instead.,Warning: OpenGL is no longer supported for desktop platforms. Vulkan will be used instead.,needs_review
,"If checked, the file server's console window will be hidden from your desktop.","If checked, the file server's console window will be hidden from your desktop.",needs_review
